ENGLISH	HRVATSKI, SRPSKI	RS800CX-HRRS800CX
RS800CX User Manual	RS800CX Korisnički priručnik	RS800CX-HRRS800CX
ENGLISH	HRVATSKI, SRPSKI	RS800CX-HRRS800CX
CONTENTS	SADRŽAJ 1.	RS800CX-HRRS800CX
1. INTRODUCTION ....................................................................................................................	UVOD ..............................................................................................................................	RS800CX-HRRS800CX
5 2. TRAINING COMPUTER PARTS ...................................................................................................	5 2. DIJELOVI MONITORA SRČANE FREKVENCIJE ....................................................................	RS800CX-HRRS800CX
6 Optional Accessories .........................................................................................................	6 Opcijska dodatna oprema ..................................................................................................	RS800CX-HRRS800CX
6 3. GETTING STARTED ................................................................................................................	6 3. PRIPREMA.......................................................................................................................	RS800CX-HRRS800CX
7 Basic Settings .....................................................................................................................	7 Osnovne postavke ............................................................................................................	RS800CX-HRRS800CX
7 Menu Structure ...................................................................................................................	7 Struktura izbornika ...........................................................................................................	RS800CX-HRRS800CX
8 4. PREPARE FOR TRAINING .........................................................................................................	8 4. PRIPREMA ZA VJEŽBANJE ...............................................................................................	RS800CX-HRRS800CX
9 Plan Your Training ...............................................................................................................	Planiranje vašeg vježbanja ................................................................................................	RS800CX-HRRS800CX
9 Exercise Types .................................................................................................................	Vrste vježbi .....................................................................................................................	RS800CX-HRRS800CX
9 Create New Exercises.........................................................................................................	Stvorite novu vježbu .........................................................................................................	RS800CX-HRRS800CX
9 Calibrate the Polar s3/s3+ Stride Sensor W.I.N.D. .........................................................................	Kalibracija Polar s3 senzora brzine trčanja W.I.N.D. ..............................................................	RS800CX-HRRS800CX
11 Calibrate Sensor by Running a Distance (on-the-fly calibration) ..................................................	Kalibracija senzora trčanjem (on-the-fly kalibracija) .................................................................	RS800CX-HRRS800CX
11 Set Calibration Factor Manually ...........................................................................................	Ručno namještanje kalibracijskog faktora ..............................................................................	RS800CX-HRRS800CX
11 5. TRAINING...........................................................................................................................	5. VJEŽBANJE .....................................................................................................................	RS800CX-HRRS800CX
13 Wear the Heart Rate Sensor ....................................................................................................	Nošenje primopredajnika...................................................................................................	RS800CX-HRRS800CX
13 Start Training......................................................................................................................	Počnite vježbati ................................................................................................................	RS800CX-HRRS800CX
13 Combine Exercises ...............................................................................................................	Kombiniranje vježbi ..........................................................................................................	RS800CX-HRRS800CX
14 Information on the Display ......................................................................................................	Informacije na zaslonu ......................................................................................................	RS800CX-HRRS800CX
15 Personalize the Training Computer Display ..................................................................................	Prilagođavanje zaslona monitora srčane frekvencije.............................................................	RS800CX-HRRS800CX
16 Button Functions During Exercise ..............................................................................................	Funkcije tipki tijekom vježbanja..........................................................................................	RS800CX-HRRS800CX
20 Record a Lap ...................................................................................................................	Pretrčite krug...................................................................................................................	RS800CX-HRRS800CX
20 Lock a Zone.....................................................................................................................	Blokiranje zone ................................................................................................................	RS800CX-HRRS800CX
20 Zoom the Display .............................................................................................................	Povećanje prikaza ............................................................................................................	RS800CX-HRRS800CX
20 Illuminate the Display (Night mode on) .................................................................................	Osvjetljenje prikaza (noćni režim rada) .................................................................................	RS800CX-HRRS800CX
20 View Quick Menu ..............................................................................................................	Izbornik postavki ..............................................................................................................	RS800CX-HRRS800CX
20 Pause Exercise .................................................................................................................	Pauza vježbanja ..............................................................................................................	RS800CX-HRRS800CX
21 Determine Your OwnZone .......................................................................................................	Određivanje vaše zone (OwnZone) .....................................................................................	RS800CX-HRRS800CX
21 6. AFTER TRAINING ..................................................................................................................	6. NAKON VJEŽBANJA .........................................................................................................	RS800CX-HRRS800CX
23 Stop Recording....................................................................................................................	Prestanak vježbanja ..........................................................................................................	RS800CX-HRRS800CX
23 Analyze Exercise Results........................................................................................................	Analiza rezultata vježbanja ................................................................................................	RS800CX-HRRS800CX
23 Exercise Log ....................................................................................................................	Dnevnik vježbanja ............................................................................................................	RS800CX-HRRS800CX
23 Weekly Summary .............................................................................................................	Tjedni sažetak .................................................................................................................	RS800CX-HRRS800CX
30 Totals.............................................................................................................................	Ukupni rezultati ................................................................................................................	RS800CX-HRRS800CX
30 Delete Files ....................................................................................................................	Brisanje datoteka .............................................................................................................	RS800CX-HRRS800CX
31 7. SETTINGS ..........................................................................................................................	7. POSTAVKE ......................................................................................................................	RS800CX-HRRS800CX
32 Feature Settings ..................................................................................................................	Postavke značajki .............................................................................................................	RS800CX-HRRS800CX
	Polar s3 senzor brzine trčanja W.I.N.D..................................................................................	RS800CX-HRRS800CX
32 Polar s3/s3+ Stride Sensor W.I.N.D. .....................................................................................	Polar senzor brzine W.I.N.D. ..............................................................................................	RS800CX-HRRS800CX
32 Polar Cycling Speed Sensor W.I.N.D. ....................................................................................	Polar senzor ritma W.I.N.D. ................................................................................................	RS800CX-HRRS800CX
32 Polar Cadence Sensor W.I.N.D............................................................................................. 32 Measuring Wheel Size........................................................................................................	Mjerenje dimenzija kotača ..................................................................................................	RS800CX-HRRS800CX
33 Polar G3/G5 GPS Sensor W.I.N.D. ........................................................................................	Polar G3 GPS senzor W.I.N.D. ...........................................................................................	RS800CX-HRRS800CX
33 Altitude ..........................................................................................................................	Nadmorska visina.............................................................................................................	RS800CX-HRRS800CX
34 Recording Rate ................................................................................................................	Učestalost snimanja..........................................................................................................	RS800CX-HRRS800CX
34 RR Data Function .............................................................................................................	Funkcija RR podataka .......................................................................................................	RS800CX-HRRS800CX
37 Speed View .....................................................................................................................	Prikaz brzine ...................................................................................................................	RS800CX-HRRS800CX
	Automatsko snimanje kruga ...............................................................................................	RS800CX-HRRS800CX
37 Automatic Lap Recording ...................................................................................................	Pregled otkucaja srca........................................................................................................	RS800CX-HRRS800CX
37 Heart Rate View ...............................................................................................................	Sportske zone .................................................................................................................	RS800CX-HRRS800CX
	Korisničke postavke .........................................................................................................	RS800CX-HRRS800CX
37 Sport Zones ....................................................................................................................	9 9 9 9 11 11 11 13 13 13 14 15 16 20 20 20 21 21 21 21 22 23 23 23 23 30 30 31 32 32 32 32 32 33 34 34 34 37 37 37 37 37 37 HRVATSKI, SRPSKI	RS800CX-HRRS800CX
37 User Settings ......................................................................................................................	Općenite postavke ............................................................................................................	RS800CX-HRRS800CX
37 General Settings .................................................................................................................. 38 ENGLISH	Zvuk ..............................................................................................................................	RS800CX-HRRS800CX
Sound ...........................................................................................................................	Blokiranje tipki .................................................................................................................	RS800CX-HRRS800CX
38 Keylock .........................................................................................................................	Jedinice .........................................................................................................................	RS800CX-HRRS800CX
39 Units..............................................................................................................................	Jezik..............................................................................................................................	RS800CX-HRRS800CX
39 Language .......................................................................................................................	Hibernacija .....................................................................................................................	RS800CX-HRRS800CX
39 Sleep ............................................................................................................................	Postavke sata ..................................................................................................................	RS800CX-HRRS800CX
39 Watch Settings ....................................................................................................................	Podsjetnik.......................................................................................................................	RS800CX-HRRS800CX
39 Reminder .......................................................................................................................	Događaj .........................................................................................................................	RS800CX-HRRS800CX
39 Event .............................................................................................................................		RS800CX-HRRS800CX
40 Alarm ............................................................................................................................	Alarm ............................................................................................................................	RS800CX-HRRS800CX
40 Time ..............................................................................................................................	Vrijeme ..........................................................................................................................	RS800CX-HRRS800CX
40 Date ..............................................................................................................................	Datum............................................................................................................................	RS800CX-HRRS800CX
41 Shortcut Button (Quick Menu) ..................................................................................................	Tipka prečaca (brzi izbornik) ..............................................................................................	RS800CX-HRRS800CX
41 8. TRAINING PROGRAM .............................................................................................................	8. PROGRAM VJEŽBANJA ....................................................................................................	RS800CX-HRRS800CX
42 View Program .....................................................................................................................	Pregled programa .............................................................................................................	RS800CX-HRRS800CX
42 Perform Programmed Exercise .................................................................................................	Provođenje programiranih vježbi ........................................................................................	RS800CX-HRRS800CX
43 Start training ...................................................................................................................	Početak vježbanja ............................................................................................................	RS800CX-HRRS800CX
43 Exercise with Phases .........................................................................................................	Vježbanja u fazama ..........................................................................................................	RS800CX-HRRS800CX
43 Views during the exercise ...................................................................................................	Prikazi za vrijeme vježbanja ...............................................................................................	RS800CX-HRRS800CX
43 Functions During Exercise ..................................................................................................	Funkcije za vrijeme vježbanja .............................................................................................	RS800CX-HRRS800CX
44 Lap Menu .......................................................................................................................	Izbornik kruga..................................................................................................................	RS800CX-HRRS800CX
44 9. TESTS...............................................................................................................................	9. TESTOVI..........................................................................................................................	RS800CX-HRRS800CX
45 Polar Fitness TestTM.............................................................................................................	Polar Fitness TestTM ........................................................................................................	RS800CX-HRRS800CX
45 Before the Test ................................................................................................................	Prije testa .......................................................................................................................	RS800CX-HRRS800CX
45 Performing the Test...........................................................................................................	Provođenje testa ..............................................................................................................	RS800CX-HRRS800CX
